text_id,sentence_id,Text Ele Sentence,Text Adv Sentence
1_10_1,1,"The Greek island of Agios Efstratios is very remote. It has been forgotten by the banks, the government and most of the modern world. It doesn't have a single ATM or credit-card machine.","Agios Efstratios is so remote, so forgotten by the banks, the government and most of the modern world that the mobile phone network can't process data and there isn't a single ATM or credit-card credit-card machine on the island. "
1_10_1,2," Before the economic crisis in Greece, the people of this peaceful island in the northern Aegean lived quite well. ","Before Greece was plunged into financial chaos, residents of this tranquil outpost in the northern Aegean managed quite well. "
1_10_1,3,"The few rooms to rent were fully booked every summer with people enjoying its empty beaches, clear seas and fresh seafood.","They did their banking at the post office and the few dozen rooms to rent were booked out every summer with people who had heard – by word of mouth – of its spectacular empty beaches, clear seas and fresh seafood."
1_10_2,1,But the island still uses only cash so the closure of the Greek banks has had a serious effect. ,"But, because the island still runs on cash, the closure of banks nationwide has been devastating."
1_10_2,2,Local people have to make nine-hour round trips to the nearest big island to get cash. Greek visitors say they don't have enough cash to come.,Residents have been forced to make nine-hour round trips to the nearest big island to get cash and Greek visitors say they can't get together enough cash to come.
1_10_2,3,"“Tourist numbers have reduced by 80% this year,” said Mayor Maria Kakali, in an office in the village where she grew up. The village has about 200 people.","“Tourist numbers are down 80% this year,” said Mayor Maria Kakali, in an office in the village where she grew up, home to around 200 people. "
1_10_2,4," “Even people born here and living in Athens, who have their own places on the island, aren't coming.”","“Even people born here and living in Athens, who have their own places on the island, aren't coming.”"
1_10_3,1,"Kakali has asked the government and a major Greek bank to install an ATM, and this should arrive soon. But tourism is the main business on the island, and she feels the ATM may come too late for this season. “We have almost no reservations in August, when usually we are full.”","Kakali has badgered the government and a major Greek bank into promising an ATM within weeks but she still feels it may come too late for this season on an island where tourism dwarfs the two other sources of income: fishing and agriculture: “We have almost no reservations in August, when usually we have people calling us up asking to find a room and we can't help them.” "
1_10_3,2,But there is an even bigger crisis ahead – the government has said it will end a tax break for islands.,A hard winter ahead may be slightly improved by 50 workers billeted in the village to expand the harbor but there is an even bigger crisis looming because the government has said it will end a decades-old tax break for islands.
1_10_4,1,The sales tax break was created to help people on islands survive when lots of people were emigrating. ,"Created to help island communities survive when they were suffering mass emigration, a lower sales tax contained the costs of living in places where everything had to be imported and made tourism more affordable. "
1_10_4,2,"Islands that are popular with tourists, such as Mykonos, fear that losing the tax break will make things very hard for them. But, for Agios Efstratios, it is a much bigger problem. ","Tourist favorites such as Mykonos fear that losing the tax breaks will make it hard for them to compete with Turkey but, for Agios Efstratios, it poses a far greater threat. "
1_10_4,3,"“If we have to pay a tax of 23%, we will all die on the island,” says Kakali. ","“If we have to pay a tax of 23%, I'm sorry to say it but we will all die on the island,” says Kakali. "
1_10_4,4,"Food and fuel are already more expensive than on mainland Greece. Even in summer, the island has only three shops, two restaurants and not one official hotel. ","Food and fuel are already more expensive than on mainland Greece, there are no economies of scale and little economic flexibility on an island which, even in summer, has only three shops, two restaurants and not a single official hotel. "
1_10_4,5,"“This is an expensive island. Everything, even milk or bread, has been bought and sold three or four times by middlemen before it gets to us and so is very expensive,” said Provatas Costas, a 58-year-old fisherman.","“This is an expensive island. Everything, even milk or bread, has changed hands three or four times before it gets to us and each middleman has to take a profit,” said Provatas Costas, a 58-year-old fisherman."
1_10_5,1,"Things are also difficult for the island of Lemnos, the closest large neighbor of Agios Efstratios. ","For Agios Efstratios and its closest large neighbor, Lemnos, the timing of the crisis is particularly cruel. "
1_10_5,2,People saw the islands as remote for years partly because the only way to get there was by slow and unreliable ferries. ,They were condemned to relative obscurity for years in part because they are served by slow and unreliable ferries. 
1_10_5,3,"In 2015, they finally had new, efficient ferries and this brought many new visitors to explore these islands. But, then, the bank controls began. ","In 2015, the government had finally given the contract to a new, efficient company, drawing floods of new visitors to explore the islands' largely overlooked charms, before the bank controls hit. "
1_10_5,4,"“This season started as the best season in 30 years and, in one week, it became the worst,” said Atzamis Konstantinos, a travel agent in Lemnos.","“This season started out as the best season in 30 years and, in one week, became the worst,” said Atzamis Konstantinos, a travel agent in Lemnos who used to earn €15,000 a month as a captain of petroleum tankers and other large ships but came home because he missed it so much."
1_10_6,1,"Lemnos has wild beaches, where you can swim and sunbathe almost alone, a small nightlife scene and many cultural sites. ","Lemnos has dozens of wild beaches, where even at the height of summer you can swim and sunbathe virtually alone, a small nightlife scene, and numerous cultural sites. "
1_10_6,2,Lemnos is the eighth largest island in Greece so it will have to pay the first round of tax increases in autumn 2015. But Lemnos is far less wealthy than many smaller islands.,Lemnos is the eighth largest island in Greece so it is in line for the first round of tax increases in autumn 2015 but far less wealthy than many smaller ones. 
1_10_6,3,"It has just over 3,000 beds for visitors – Rhodes, for example, has tens of thousands of beds. ","It has just over 3,000 beds for visitors, compared with tens of thousands on an island such as Rhodes."
1_10_6,4,"“We have been suffering economically in recent years and now we will suffer more,” said Lemnos Mayor, Dimitris Marinakis.","Its councilors say that they will fight the tax rise, although none can say how. “We have been suffering economically in recent years and, now, we will suffer more,” said Lemnos Mayor, Dimitris Marinakis. “When there is not enough money, you reduce your consumption and therefore the whole economy declines.”"
1_10_7,1,"If taxes go up, more young people will leave, warns Mayor Kakali. ","If taxes go up, even more young people will leave, warns Mayor Kakali, who has devoted her year in office to improving education on the island to help keep it an attractive place for families. "
1_10_7,2,"Because it is one of the smallest islands, Agios Efstratios will not have to pay the tax increase until 2017. And Kakali hopes the political situation in Greece will change before then. ","Because it is one of the smallest islands, Agios Efstratios has until 2017 before the rise is due to come in, so Kakali hopes that the roller coaster of Greek politics means it yet may be spared. "
1_10_7,3,"But, if not, she plans to travel to Athens to remind the distant government what the tax rise would cost. ","If not, though, she plans to travel to Athens to remind the distant government what the tax rise would cost. "
1_10_7,4,"“The government doesn't pay much attention to the islands of the north Aegean,” she said, “so I would take all the kids from our school to the gates of parliament, to tell them: ‘There is still life in these islands'.”","“The truth is the government doesn't pay much attention to the islands of the north Aegean,” she said, “so I would take all the kids from our school to the gates of parliament, to tell them: ‘There is still life in these islands'.”"
1_1_1,1,"A car with a maximum speed of 25 miles per hour, two seats and no pedals or steering wheel does not sound very interesting. ","Unveiling a car with a top speed of 25mph, two seats and no pedals or steering wheel might not make much of an impression at a motor show. "
1_1_1,2,"But Google, in the US, shocked the car and taxi industries when it unveiled the latest version of its driverless car. ","But Google, in the US, sent a minor earthquake through the car and taxi industries as it unveiled the latest version of its driverless car."
1_1_1,3,"Google has begun testing the electric car at its headquarters in Mountain View, California. The car does not have all the normal car controls, such as foot pedals. ","The electrically powered vehicle, which Google has begun testing around its headquarters in Mountain View, California, dispenses with all the normal controls, including foot pedals. "
1_1_1,4,"Instead, it has a smartphone app that calls it and tells it the destination, and a STOP button between the two seats in case the passengers need to override the computer.","Instead, it has a smartphone app that summons it and tells it the destination, and a single STOP button mounted between the two front-facing seats in case the occupants need to override the computer."
1_1_2,1,,"The car, in fact, takes over all the tasks of navigation, steering, acceleration and braking. "
1_1_2,2,The company is building about 100 prototypes for a two-year test. ,The company is building about 100 prototypes for a two-year test. 
1_1_2,3,"The company's co-founder, Sergey Brin, said that the vehicle was still just a prototype. He says that they want to change the world for people who do not find it easy to use transportation today. ","The company's co-founder, Sergey Brin, told a conference in California that the vehicle was “still in the prototype stage” but that the project was “about changing the world for people who are not well served by transportation today.” "
1_1_2,4,"Talking about the car, he said, “You're just sitting there; no steering wheel, no pedals. For me, it was very relaxing. ","He said of the car: “You're just sitting there; no steering wheel, no pedals. For me, it was very relaxing. "
1_1_2,5,"About ten seconds after getting into the car, I forgot I was there. I found it really fun.”","About ten seconds after getting in, I forgot I was there. It reminded me of catching a chairlift by yourself – a bit of solitude I found really enjoyable.”"
1_1_3,1,"Google says that the aim of the project is to improve safety. They say that the car is made with foam at the front and a plastic windscreen, so “it should be far safer than any other car for pedestrians.” ","Google says that the principal aim of the project is to improve safety and that, because the car is constructed with impact-absorbing foam at the front and a plastic windscreen, “it should be far safer than any other car for pedestrians”. "
1_1_3,2,The cars have been built specially by a company in Detroit.,"The cars, which have been built specially by a company (as yet unnamed) in Detroit, will be used to investigate further how best to make driverless vehicles work. "
1_1_3,3," Google will now test the cars, which are not yet for sale.","Google will now run a program to test the cars further, which are not yet for sale."
1_1_4,1,"There need to be detailed scans of the roads before the cars can drive on them, because they cannot collect and process enough information in real time. ",One challenge is creating high-definition scans of the roads and surroundings before the cars can drive along them because they cannot gather and process enough information in real time. 
1_1_4,2,"So far, there are detailed maps of about 2,000 miles of California's roads, but California has more than 170,000 miles of roads.","So far, there are high-detail maps of about 2,000 miles of California's roads, but the state has more than 170,000 miles of public roads. "
1_1_4,3,Google says it wants to license the technology to traditional car makers when they have improved it.,Google says it is interested in licensing the technology to traditional vehicle manufacturers once it has refined it sufficiently. 
1_1_4,4,,"Members of the team had been working on the project even before joining Google, for more than a decade."
1_1_5,1,But the idea that driverless cars will replace taxis with human drivers has alarmed some people. ,But the prospect of driverless cars replacing human-driven taxis has been the cause of some alarm. 
1_1_5,2,Dennis Conyon from the UK National Taxi Association said that taxi drivers will become unemployed. ,"“If you get rid of the driver, then they're unemployed,” said Dennis Conyon, the south-east south-east director for the UK National Taxi Association. "
1_1_5,3,,“It would have a major impact on the labor force.” 
1_1_5,4,"London has about 22,000 taxis and Conyon thinks that the total number of people who drive taxis in the UK is about 100,000.","London has about 22,000 licensed cabs and Conyon estimates that the total number of people who drive taxis for hire in the UK is about 100,000."
1_1_6,1,,"However, Steve McNamara, general secretary of the 10,500-strong London Taxi Drivers' Association, said: “You won't get these driverless cars in London for 20 or 25 years. Maybe, by then, they'll have a charge point – because there isn't a single one in London now.” "
1_1_6,2,"Other car makers, including Volvo, Ford and Mercedes, are going to make vehicles that will be different from Google's version because they will have driver controls. ","Other car makers, including Volvo, Ford and Mercedes, are working on driver-assisted vehicles, which, unlike Google's version, do not dispense with the driver controls. "
1_1_6,3,"But Chris Urmson, director of the driverless car project at Google, said that the new prototypes do not have a steering wheel or brakes because a human passenger might not be able to take control in an emergency. He said that it was simpler just to have an emergency stop button.","But Chris Urmson, director of the self-driving car project at Google, said that the new prototypes dispensed with the steering wheel and brakes because there was no guarantee that a human occupant would be able to take over in an emergency, and that it was simpler just to have an emergency stop button."
1_1_7,1,"Urmson said: “The vehicles will be very basic. But they will take you where you want to go at the push of a button. And, that's an important step towards improving road safety and helping millions of people travel around more easily.” ","Urmson said: “The vehicles will be very basic. We want to learn from them and adapt them as quickly as possible. But they will take you where you want to go at the push of a button. And, that's an important step towards improving road safety and transforming mobility for millions of people.” "
1_1_7,2,"So far, the Google versions of the driverless cars have driven 700,000 miles without an accident caused by the computer. ","So far, the Google versions of the self-driving cars have covered 700,000 miles without an accident caused by the computer. "
1_1_7,3,The company says that thousands of people die each year on the roads and that about 80% of crashes are caused by human mistakes.,The company points out that thousands of people die each year on the roads and that about 80% of crashes can be ascribed to human error. 
1_1_7,4,,"But, they could have some way to go to match Conyon at the National Taxi Association. Aged 79, he has been driving a taxi for 50 years and claims never to have had an accident."
1_2_1,1,American researchers say that a nasal spray containing the ‘Love hormone' oxytocin could help children with autism behave more normally in social situations. ,"A nasal spray laced with the ‘Love hormone' oxytocin could help children with autism learn to handle social situations better, US researchers claim. "
1_2_1,2,Scans of autistic children showed that the chemical made the brain respond better to faces. This could make social interactions easier for them.,"Scans of children with autistic spectrum disorder showed that a single dose of the chemical improved brain responses to facial expressions, a shift that could make social interactions feel more natural and rewarding for them. "
1_2_1,3,The researchers said oxytocin might help other treatments that are used to help people with autism in social situations. ,The scientists behind the research said a course of oxytocin might boost the success of behavioral therapies that are already used to help people with autism learn to cope with social situations. 
1_2_1,4,"“Over time, there would be more normal social responding. Autistic people would be more interested in interacting with other people; there would be more eye contact and more conversation,” said Kevin Pelphrey, of Yale University.","“Over time, what you would expect to see is more appropriate social responding, being more interested in interacting with other people, more eye contact and more conversational ability,” said Kevin Pelphrey, director of the Child Neuroscience Lab at Yale University."
1_2_2,1,Autism is a disorder that one in 100 people have. ,Autism is a developmental disorder seen in more than one in 100 people. 
1_2_2,2,"It affects people in different ways, but causes difficulties in social interaction and communication. ","The condition affects individuals in different ways, but is characterized by difficulties in social interaction and communication. "
1_2_2,3,"So far, there is no effective treatment for the social problems that autism causes. ","So far, there is no effective treatment for the social problems caused by autism. "
1_2_2,4,Researchers at Yale have studied the brain chemical oxytocin. They say it is a possible treatment for the social problems caused by autism because it plays an important role in bonding and trust. ,Researchers at Yale have studied the brain chemical oxytocin as a potential treatment for the social impairments caused by autism because it plays a crucial role in bonding and trust. 
1_2_2,5,But not all results are positive: one recent study found no significant benefit for young people who took the chemical for several days. ,"Results have been mixed, though: one recent study found no significant benefit for youths given the chemical over several days. "
1_2_2,6,"But Pelphrey said oxytocin might help the brain learn from social interactions; it would work best when used together with therapies that encourage people with autism to interact more socially, he said.","But Pelphrey said oxytocin might help the brain learn from social interactions; it would work best when used with therapies that encourage people with autism to engage more socially, he said."
1_2_3,1,,"“Our study shows that oxytocin affects the brain and opens up the possibility that, when combined with behavioral treatments, it works like a social enhancer,” he said. "
1_2_3,2,Scientists tested 17 young people aged eight to 16 with autism. ,The scientists used a technique called functional MRI to scan the brains of 17 youths aged eight to 16 with autism while they looked at images of cars or the eyes of people expressing various emotions. 
1_2_3,3,"They gave them either oxytocin or a placebo through a nose spray. Then, the scientists scanned their brains while they looked at images of cars or the eyes of people expressing different emotions. ",The scans were given 45 minutes after the participants inhaled a placebo or oxytocin through a nasal spray. 
1_2_3,4,The scans showed that some parts of the children's brains behaved more normally after oxytocin: they were more active when the person was looking at faces and less active when the person was looking at the cars.,"The scans showed that reward circuitry in the children's brains behaved more normally after a snort of oxytocin, being more active when the person was looking at faces and less active when viewing the inanimate cars. "
1_2_3,5,,The study appears in the latest issue of the journal Proceedings of the National Academy of Sciences in the United States.
1_2_4,1,"“Our study suggests that oxytocin might treat basic social motivation. This is something for which we don't have a treatment in autism,” said Pelphrey. ","“If our study is replicated, it suggests that oxytocin might treat something for which we don't have a treatment in autism, and that's the core social motivation,” Pelphrey told the Guardian. "
1_2_4,2,He said that it was too early to use oxytocin as a treatment for the social difficulties caused by autism and said people should not buy oxytocin online. ,He warned that it was too early to use oxytocin as a treatment for the social difficulties caused by autism and cautioned against buying oxytocin from suppliers online.
1_2_4,3,“We don't want them to try oxytocin at home.,“We don't want them running out on the basis of this study or any other and trying oxytocin at home. 
1_2_4,4,It is impossible to say what they are buying. ,There is no telling what they are buying. 
1_2_4,5,"This is not a treatment yet. It needs more research,” said Pelphrey. ","We are nowhere near thinking this is a ready treatment. It needs more follow-up research,” said Pelphrey."
1_2_4,6,"“This is an important new study,” said Simon Baron-Cohen, director of the Autism Research Center at Cambridge University."," “This is an important new study in identifying changes in brain activity in key regions of the brain involved in social cognition in autism following oxytocin administration,” said Simon Baron-Cohen, director of the Autism Research Center at Cambridge University."
1_2_5,1,"But, the scientists were surprised to find that oxytocin did not help the children in social recognition tasks. ","A surprising finding, however, is that oxytocin nasal spray did not change performance on the social cognitive task. "
1_2_5,2,It is also not known yet if oxytocin only has benefits for people with autism or has any bad side effects. ,Nor is it clear yet if oxytocin only has benefits for people with autism or has any unwanted side effects. 
1_2_5,3,"Finally, oxytocin effects only last about 45 minutes, so it might be difficult to use it as a treatment. ","Finally, oxytocin effects only last about 45 minutes, so there may be practical considerations as to whether this could be used as a treatment. "
1_2_5,4,"“This study has a lot of evidence from animal and human work to show that oxytocin helps, but we need more research,” said Simon Baron-Cohen.","“From a scientific perspective, this study has a lot of evidence from animal and human work to justify serious attention, but more research is needed. Doctors should be cautious about the clinical potential of this hormone until we know much more about its benefits and risks, in much larger studies,” said Simon Baron-Cohen."
1_2_6,1,"Uta Frith, who studies autism at University College London, said: “According to this study, oxytocin may make faces more interesting. ","Uta Frith, who studies autism at University College London, said: “According to this study, oxytocin may have the effect of making faces more interesting as assessed by greater activity in brain structures concerned with reward evaluation. "
1_2_6,2,"Disappointingly, this effect is seen only in brain activity and not in behavior.” She said that, if we want oxytocin to become a useful treatment for autism, we need to show that is has an effect on behavior.","Disappointingly, this effect is seen only in brain activity and not in behavior. Demonstrating an effect on behavior will be critical if nasal spray treatment is to be of any value.”"
1_3_1,1,They call him the Robin Hood of the banks. He is a man who took out loans for almost half a million euros and never paid the money back. ,"They call him the Robin Hood of the banks, a man who took out dozens of loans, worth almost half a million euros, with no intention of ever paying them back. "
1_3_1,2,Enric Duran gave the money to projects that created and supported alternatives to capitalism. ,"Instead, Enric Duran handed the money out to projects that created and promoted alternatives to capitalism. "
1_3_1,3,"Duran has spent 14 months in hiding. He will not say he is sorry, even though he might go to prison for what he has done. ","After 14 months in hiding, Duran is unapologetic, even though his activities could land him in jail. "
1_3_1,4,"“I'm proud of what I've done,” he said in an interview by Skype from a secret location.","“I'm proud of what I did,” he said in an interview by Skype from an undisclosed location."
1_3_2,1,"From 2006 to 2008, Duran took out 68 loans from 39 banks in Spain. ","From 2006 to 2008, Duran took out 68 commercial and personal loans from 39 banks in Spain. "
1_3_2,2,He gave the money to social activists. They used the money to pay for speaking tours against capitalism and TV cameras for a media network. ,"He farmed the money out to social activists, funding speaking tours against capitalism and TV cameras for a media network. "
1_3_2,3,He said that these social activists didn't have enough money. ,"“I saw that, on one side, these social movements were building alternatives but that they lacked resources and communication capacities,” he said. "
1_3_2,4,"At the same time, he said, the economy was constantly growing, which created money from nothing.","“Meanwhile, our economy was perpetually growing, which lead to a system that created money out of nothing.”"
1_3_3,1,"The loans Duran took out dishonestly from banks were his way of showing that this situation was wrong, he said. ","The loans Duran swindled from banks were his way of regulating and denouncing this situation, he said. "
1_3_3,2,He started slowly. ,He started slowly. 
1_3_3,3,He tried to take out a few bank loans using his real details. The banks said no. ,"“I filled out a few credit applications with my real details. They denied me, but I just wanted to get a feel for what they were asking for.” "
1_3_3,4,"Then, he learned how to get money from the banks. ","From there, the former table-tennis coach began to weave an intricate web of accounts, payments and transfers. "
1_3_3,5,“I was learning all the time.”,“I was learning constantly.” 
1_3_3,6,"By the summer of 2007, he learned how to make the system work – he took out loans under the name of a false television production company.","By the summer of 2007, he had discovered how to make the system work, applying for loans under the name of a false television production company. "
1_3_3,7," This way, he got a lot of money.","“Then, I managed to get a lot.” "
1_3_3,8," €492,000, to be exact.","€492,000, to be exact."
1_3_4,1,Duran was arrested in Spain in 2009. ,"Duran was arrested in Spain in 2009, on charges brought against him by six of the 39 banks that had lent him money. "
1_3_4,2,"He spent two months in prison; then, they let him out on €50,000 bail.","He spent two months in prison before being bailed for €50,000."
1_3_4,3,"In February 2013, with the possibility of up to eight years in prison, he decided to run away. ","In February 2013, facing up to eight years in prison, he decided to flee rather than stand trial."
1_3_4,4,," “I don't see legitimacy in a judicial system based on authority, because I don't recognize its authority,” he said. "
1_3_4,5,His actions in 2006 to 2008 made many people notice the anti-capitalist movement for the first time. ,"His actions, he said, were in the vanguard of a worldwide debate on the economic crisis. "
1_3_4,6,This happened at a time when many Spanish people were looking for alternatives to a system that has caused problems in their lives.,"The timing pushed the anti-capitalist movement into the light, just as many Spaniards were seeking alternatives to a system that had wreaked havoc on their lives."
1_3_5,1,"In today's Spain, thousands of people support the anti-capitalist movement and groups such as the Indignados. ","While the same actions would probably be better understood in today's Spain, he said that they would not be needed. The anti-capitalist movement has grown from a fringe movement to one supported by thousands of Spaniards, he said, evidenced by the widely supported movements such as the Indignados. "
1_3_5,2,,"Duran is widening his focus to include Spain's justice system, by promoting restorative justice. "
1_3_5,3,,"“The people in Spain who believe that banks don't work, they think that I don't owe anything. I also think that,” he said. "
1_3_5,4,,“But there is a part of a population that is not in agreement with us and I think I should respond to that.”
1_3_5,5,Duran says he does not want to give back the money to the banks but he can offer them something. ," In his case, he said, the element of reciprocity he could offer to banks might lie in the insight he gleaned from years of obtaining bank loans fraudulently. "
1_3_5,6,"He learned a lot in the years when he was taking loans out dishonestly, so he can show the banks how they can improve things for people in general and for bank workers.","He could share his thoughts on “which best practices work and the bad ones that don't, for the general population and for bank workers”."
1_4_1,1,"One day, drones could deliver packages to your home. When will this happen? ",How far away are we from a world where drones deliver packages?
1_4_1,2,"If you believe Amazon, it will be soon. "," If Amazon is to be believed, not far at all. "
1_4_1,3,"Other people are not so sure. They have to invent the right technology but, also, they have to consider public safety. ",Others are not so sure: technical progress past this point isn't merely a matter of invention; it's a matter of public safety. 
1_4_1,4,Amazon says that they will be ready as soon as the Federal Aviation Authority (FAA) introduce rules for using drones. The FAA will finally introduce rules for using unmanned aircraft by June 2016. ,"Paul Misener, Amazon's vice-president of global public policy, told a congressional hearing recently that his company would be ready as soon as all the rules were in place. The Federal Aviation Authority (FAA) will finally have regulations governing the commercial use of unmanned aircraft by June 2016. "
1_4_1,5,But the technology has a long way to go before then and larger machines aren't legal yet – only drones up to 25kg will be legal. And the FAA says in the rules they want to introduce that drones will all have to use different radio frequencies that nobody can block or hijack.,"But the technology has a long way to go before then and larger machines aren't airway-legal at all yet – only drones up to 25kg will be covered and the FAA points out in the proposed rules that, if you're going to crowd the skies with radio-controlled flying robots, they had better all be using different radio frequencies that nobody can jam or hijack."
1_4_2,1,"Professor Sanjiv Singh, who works for delivery company NearEarth, said that flying drones is quite simple – you just give it some basic instructions: go to this height, do this short task, go back home. ","Professor Sanjiv Singh, who runs a cargo delivery company called NearEarth, said that piloting a state-of-the-art drone was a little more like leaving it a trail of breadcrumbs: go to this altitude, perform this short task, go back home. "
1_4_2,2,"But even short flights from a mobile landing place could cause serious problems, he said. ","But even short flights from a mobile landing pad pose serious logistical problems, he said. "
1_4_2,3,"“They're not planning to deliver in areas where nobody lives; they're planning to deliver from a warehouse to the consumer, which will probably be in a town or city,” he said. ","“They're not proposing to deliver from one uninhabited place to another uninhabited place; they're proposing to deliver from a warehouse to where the consumer is, which is likely an urban area,” he said. "
